CE_ID,CE_Name,Rarity,CE_Summon
174,Heaven's Feel,4-Star,Non-Limited
175,Ideal Holy King,5-Star,Non-Limited
176,Record Holder,4-Star,Non-Limited
177,Beast of Billows,3-Star,Friend
178,Personal Training,5-Star,Misc
179,School of Chaldea,5-Star,Event
180,Holy Maiden Leading Chaldea,5-Star,Event
181,The Merciless One,5-Star,Event
182,Art of the Poisonous Snake,4-Star,Non-Limited
183,Art of Death,4-Star,Non-Limited
184,Gentle Affection,4-Star,Non-Limited
185,Volumen Hydrargyrum,5-Star,Non-Limited
186,Young Maiden Ignorant of Love,4-Star,Non-Limited
187,Self Geass Scroll,3-Star,Friend
188,Before Awakening,5-Star,Non-Limited
189,His Rightful Place,5-Star,Event
190,Craft Essence EXP Card: Crest Worms,3-Star,Misc
191,Crown of the Star,4-Star,MaxBond
192,Relic of The King,4-Star,MaxBond
193,Triumph of the Impaling Lord,4-Star,MaxBond
194,Revelation from Heaven,4-Star,MaxBond
195,Memories of the Dragon,4-Star,MaxBond
196,Hunter of the Red Plains,4-Star,MaxBond
197,Castle of Snow,4-Star,MaxBond
198,Yggdrasil Tree,4-Star,MaxBond
199,Embrace of the Scorching Heat,4-Star,MaxBond
200,Worthless Jewels,4-Star,MaxBond
201,Eternal Solitude,4-Star,MaxBond
202,Gift from the Queen,4-Star,MaxBond
203,Elixir,4-Star,MaxBond
204,My Necklace,4-Star,MaxBond
205,The Staff He Gave Me,4-Star,MaxBond
206,Iron Maiden,4-Star,MaxBond
207,Cat Apron,4-Star,MaxBond
208,Thirst for Victory,4-Star,MaxBond
209,To My Dear Friend,4-Star,MaxBond
210,Holy Devotion,4-Star,MaxBond
211,The Wandering Tales of Shana-oh,5-Star,Event
212,Golden Carp Figure,5-Star,Event
213,Fox's Night Dream,5-Star,Limited
214,A Verse of Burning Love Story,4-Star,Limited
215,Reading The Subscription List,3-Star,Limited
216,Key of the King's Law,4-Star,MaxBond
217,Golden Glass,4-Star,MaxBond
218,Thunderous Applause,4-Star,MaxBond
219,Das Rheingold,4-Star,MaxBond
220,Glitter of the Goddess,4-Star,MaxBond
221,Voyage of the Flowers,4-Star,MaxBond
222,Ark of the Covenant,4-Star,MaxBond
223,Door to Babylon,4-Star,MaxBond
224,Blood-Sucking Axe,4-Star,MaxBond
225,Insurrection,4-Star,MaxBond
226,Go West!!,5-Star,Limited
227,The Three Great Heroes,5-Star,Event
228,True Samadhi Fire,4-Star,Limited
229,All Three Forms,3-Star,Limited
230,Tri-Star Belt,4-Star,MaxBond
231,Golden Rudder,4-Star,MaxBond
232,Helmet of the Black Knight,4-Star,MaxBond
233,The Golden Apple,4-Star,MaxBond
234,Holy Pumpkin Grail,4-Star,MaxBond
235,Rotary Matchlock,4-Star,MaxBond
236,Llamrei Unit II,4-Star,MaxBond
237,Things to Calm the Heart,4-Star,MaxBond
238,The Glory of the Past,4-Star,MaxBond
239,Heaven Among the Mountains,4-Star,MaxBond
240,Divine Princess of The Storm,5-Star,Event
241,Ox-Demon King,5-Star,Event
242,Personal Lesson,5-Star,Misc
243,Bronze-Link Manipulator,3-Star,Non-Limited
244,Ath nGabla,3-Star,Non-Limited
245,Bygone Dreams,3-Star,Friend
246,Extremely Spicy Mapo Tofu,3-Star,Non-Limited
247,Jeweled Sword Zelretch,3-Star,Non-Limited
248,Tamamo's Fan Club,4-Star,MaxBond
249,Headband of Resolve,4-Star,MaxBond
250,Calico Jack,4-Star,MaxBond
251,Gazing Upon Dún Scáith,4-Star,MaxBond
252,Shooting Star of Prophecy,4-Star,MaxBond
253,Hecate's Staff,4-Star,MaxBond
254,Shapeless Island,4-Star,MaxBond
255,Cask of Wise Man,4-Star,MaxBond
256,Shaytan's Arm,4-Star,MaxBond
257,Ariadne's Thread,4-Star,MaxBond
258,Dumplings Over Flowers,5-Star,Limited
259,The Faithful Dog Who Waits,4-Star,Limited
260,Hidden Blade - Pheasant Reversal,3-Star,Limited
261,Golden Sumo Wrestling ~Rocky Arena~,5-Star,Limited
262,Hot Spring of the Moon,5-Star,Event
263,Origin Bullet,5-Star,Non-Limited
264,Covering Fire,4-Star,Non-Limited
265,Battle of Camlann,3-Star,Non-Limited
266,Who Am I,4-Star,MaxBond
267,The Misty Night of London,4-Star,MaxBond
268,Wonderland,4-Star,MaxBond
269,No Face May King,4-Star,MaxBond
270,Usumidori,4-Star,MaxBond
271,Propiety to The Nine Dukes,4-Star,MaxBond
272,Heaven Scorcher Halberd,4-Star,MaxBond
273,What Can Be Left Behind,4-Star,MaxBond
274,Hot Gate,4-Star,MaxBond
275,Haydn Quartets,4-Star,MaxBond
276,Anniversary Heroines,4-Star,Event
277,Leisurely Strolling,5-Star,Limited
278,Participation of the King,5-Star,Limited
279,Goldfish Scooping,4-Star,Limited
280,Fire Flower,3-Star,Limited
281,Hand of Lightning,4-Star,MaxBond
282,Hero of the Endowed,4-Star,MaxBond
283,Lamp of the Unfortunate,4-Star,MaxBond
284,Procedure to Humanity,4-Star,MaxBond
285,Black Helmet,4-Star,MaxBond
286,Commentarii de Bello Gallico,4-Star,MaxBond
287,Rome,4-Star,MaxBond
288,Encounter at Goj? ?hashi,4-Star,MaxBond
289,Desecrated Mask of Death,4-Star,MaxBond
290,Really Convenient,4-Star,MaxBond
291,Pirates Party!,5-Star,Limited
292,Summer Time Mistress,5-Star,Event
293,Twilight Memory,4-Star,Limited
294,Shiny Goddess,3-Star,Limited
295,Knights of Marines,5-Star,Limited
296,Chaldea Lifesavers,5-Star,Event
297,Meat Wars,4-Star,Limited
298,Void's Refuse Shaved Ice,3-Star,Limited
299,Annihilation List,4-Star,MaxBond
300,Imperishable Flames,4-Star,MaxBond
301,Ring of Bay Laurel,4-Star,MaxBond
302,Final Battle,4-Star,MaxBond
303,Salmon of Knowledge,4-Star,MaxBond
304,Prelati's Spellbook,4-Star,MaxBond
305,Parasitic Bomb,4-Star,MaxBond
306,Surge of the Warrior,4-Star,MaxBond
307,My Loathsome Life,4-Star,MaxBond
308,Love is Not Here,4-Star,MaxBond
309,Azure Magical Girl,5-Star,Limited
310,Kill on Sight,4-Star,Limited
311,Zunga Zunga!,3-Star,Limited
312,Kaleid Ruby,4-Star,Event
313,Kaleid Sapphire,4-Star,Event
314,Craft Essence EXP Card: Magical Ruby,3-Star,Misc
315,Mugashiki - Shink? My?u,4-Star,MaxBond
316,Amakusa Shir?'s Rally Flag,4-Star,MaxBond
317,Château d'If,4-Star,MaxBond
318,Infinite Pancakes,4-Star,MaxBond
319,Red Jacket,4-Star,MaxBond
320,Otherworldly Mystical Horse,4-Star,MaxBond
321,Letter From a Friend,4-Star,MaxBond
322,Hound of Culann,4-Star,MaxBond
323,Glitter of the Goddess,4-Star,MaxBond
324,Hero's Arms,4-Star,MaxBond
325,Glory Is With Me,5-Star,Limited
326,Legion of Pioneers,4-Star,Limited
327,Howling to the Moonlight,3-Star,Limited
328,Princess of the White Rose,5-Star,Event
329,Joint Recital,5-Star,Event
330,Chaldea Lunchtime,5-Star,Misc
331,Fragarach,3-Star,Non-Limited
332,Celestial Inverted Moon,3-Star,Non-Limited
333,Hydra Dagger,3-Star,Non-Limited
334,Indomitableness,4-Star,MaxBond
335,One-Man War,4-Star,MaxBond
336,Sacred Spring,4-Star,MaxBond
337,Indestructible Blade,4-Star,MaxBond
338,Concealed Goddess,4-Star,MaxBond
339,Lights of Civilization,4-Star,MaxBond
340,Reaching the Zenith of My Skill,4-Star,MaxBond
341,Knight's Oath,4-Star,MaxBond
342,Elemental,4-Star,MaxBond
343,True Difference Engine,4-Star,MaxBond
344,Dangerous Beast,5-Star,Limited
345,Witch of Moonlit Night,4-Star,Limited
346,Count Romani Archaman's Hospitality,3-Star,Limited
347,Heroine Eli-chan's Adventure,5-Star,Event
348,Wizard & Priest,4-Star,Event
349,Mata Hari's Tavern,3-Star,Event
350,Hell of Blazing Punishment,4-Star,MaxBond
351,Gordian Knot,4-Star,MaxBond
352,Bai Long,4-Star,MaxBond
353,Where the Sun Cannot Reach,4-Star,MaxBond
354,Dress of Heaven,4-Star,MaxBond
355,Manifestation of the Golden Rule,4-Star,MaxBond
356,Spirits of This Land,4-Star,MaxBond
357,Extolling The Revolver,4-Star,MaxBond
358,Library of Hundred Men,4-Star,MaxBond
359,Last Splinter,4-Star,MaxBond
360,Fate/EXTELLA,4-Star,Event
361,Spiritron Portrait: Nero Claudius,4-Star,Misc
362,Spiritron Portrait: Nameless,4-Star,Misc
363,Spiritron Portrait: Tamamo no Mae,4-Star,Misc
364,Spiritron Portrait: Karna,4-Star,Misc
365,Spiritron Portrait: Altera,4-Star,Misc
366,Spiritron Portrait: Gilgamesh,4-Star,Misc
367,Shinpen Kidoku Sake,4-Star,MaxBond
368,D?jigiri Yasutsuna,4-Star,MaxBond
369,Ramesseum,4-Star,MaxBond
370,Bone Sword (Nameless),4-Star,MaxBond
371,Unit Golden Bear,4-Star,MaxBond
372,Gringolet,4-Star,MaxBond
373,A Single Lie,4-Star,MaxBond
374,Unused Royal Authority,4-Star,MaxBond
375,Oni's Mask,4-Star,MaxBond
376,Cook Despite of Exhaustion,4-Star,MaxBond
377,King's Horse,4-Star,MaxBond
378,"Universal Wisdom, Root of Intellect",4-Star,MaxBond
379,Sunset Beach,4-Star,MaxBond
380,Lady of the Lake,4-Star,MaxBond
381,Reminiscence of the Summer,4-Star,MaxBond
382,Taking a Bath!,4-Star,MaxBond
383,Prydwen,4-Star,MaxBond
384,Beach Love Letter (Terror),4-Star,MaxBond
385,My Long Lost Right Arm,4-Star,MaxBond
386,Proof of Existence,4-Star,MaxBond
387,A Moment of Silence,5-Star,Limited
388,Holy Night of Learning,4-Star,
389,Saint's Invitation,3-Star,Limited
390,Holy Night Dinner,5-Star,Event
391,Champion Cup,4-Star,MaxBond
392,Phantasmal Summoning (Install),4-Star,MaxBond
393,Serpent of Fate,4-Star,MaxBond
394,Holy Knuckle,4-Star,MaxBond
395,Minimal Prudence,4-Star,MaxBond
396,Sharing of Pain,4-Star,MaxBond
397,Creed at the Bottom of the Earth,4-Star,MaxBond
398,Invitation to Halloween,4-Star,MaxBond
399,First Order,4-Star,Misc
400,Demonic Bodhisattva,5-Star,Non-Limited
401,Room Guarder,4-Star,Non-Limited
402,Miracle Investigator,3-Star,Friend
403,Seven-Headed Warhammer Sita,4-Star,MaxBond
404,Flower of Humbaba,4-Star,MaxBond
405,Piedra Del Sol,4-Star,MaxBond
406,Door To The Ocean,4-Star,MaxBond
407,Dup Shimati,4-Star,MaxBond
408,Chrysaor,4-Star,MaxBond
409,Impossible Tomorrow,4-Star,MaxBond
410,Primeval Flame,4-Star,MaxBond
411,The Furthest Tower,4-Star,MaxBond
412,First Sunrise,5-Star,Limited
413,Firing The First Arrow,4-Star,Limited
414,One Flew Over the Cuckoo's Nest,3-Star,Misc
415,Cheers To 2017,4-Star,Event
416,Buddhism of Emptiness,4-Star,MaxBond
417,The Rift of the Valley,4-Star,MaxBond
418,Reality Marble,3-Star,Non-Limited
419,Elixir of Rejuvenation,3-Star,Non-Limited
420,Mystery Masks,3-Star,Non-Limited
421,Cute Orangette,5-Star,Limited
422,Chocolatier,5-Star,Limited
423,Choco Angel,4-Star,Limited
424,Bitter Black,4-Star,Limited
425,Blessful Time,3-Star,Limited
426,Victor's Complacency,3-Star,Limited
427,Sweet Crystal,5-Star,Event
428,Fondant au Chocolat,5-Star,Event
429,Dark Knight-Kun,4-Star,MaxBond
430,High Class Wagashi,4-Star,Event
431,Special Dango,4-Star,Event
432,You can be a Dragon Too! Set,4-Star,Event
433,A Little Fun with You,4-Star,Event
434,Bananas (Approved by Hanuman),4-Star,Event
435,O Noble Flower of Hope,4-Star,Event
436,The Ally of Skin,4-Star,Event
437,Legendary Orb Choco,4-Star,Event
438,Caesar-styled Cena,4-Star,Event
439,Jeanne Fan Club Set,4-Star,Event
440,I Prepared a Room for Us,4-Star,Event
441,Silver Box,4-Star,Event
442,Lapis Lazuli Bracelet,4-Star,Event
443,Konb? (BBQ Flavour),4-Star,Event
444,Alternating Current-Style Lightning Cookies,4-Star,Event
445,An Arrow Towards Karna,4-Star,Event
446,Blue Sky Vanilla Mt.,4-Star,Event
447,Jewel-Cut Stars,4-Star,Event
448,You can Still Learn Housework Starting Now Set,4-Star,Event
449,Best Of Tristan,4-Star,Event
450,Just an Ordinary (?) Chocolate,4-Star,Event
451,Return Me with a Kiss,4-Star,Event
452,Nameless Souvenir Coins,4-Star,Event
453,Love to Abishag,4-Star,Event
454,Exciting Splash VIP Ticket,4-Star,Event
455,Silver Bullet,4-Star,Event
456,Until We Reach the Ultimate Tastiness,4-Star,Event
457,Chickpea Paste and…,4-Star,Event
458,Sunset Earrings,4-Star,Event
459,World End Castle,4-Star,Event
460,Chocolate Driver,4-Star,Event
461,White Flower,4-Star,Event
462,Red Flower,4-Star,Event
463,DHA,4-Star,Event
464,Tie Guan Yin Tea (?),4-Star,Event
465,Just Some Ordinary Chocolates,4-Star,Event
466,Carnivore Carnival,4-Star,Event
467,Heart Choco Bitter Bitter Bitter,4-Star,Event
468,Egg Choco,4-Star,Event
469,Runestone Choco,4-Star,Event
470,Vestiges of Year 1999,4-Star,Event
471,Pax Romana,4-Star,Event
472,Trojan Horse (Palm-Sized),4-Star,Event
473,White Roses of Gratitude,4-Star,Event
474,Cocoa Beans,4-Star,Event
475,Blank Temple Solicitation Book (with Benkei's Autograph),4-Star,Event
476,Iron Marshmallows,4-Star,Event
477,Honey Choco with Medb-chan's Stamp,4-Star,Event
478,Hero's Cup,4-Star,Event
479,Sphinx Awlad,4-Star,Event
480,Liberación Xocolatl,4-Star,Event
481,Hippogriff Plushie (1/1),4-Star,Event
482,Cute Rabbit Choco,4-Star,Event
483,Rider Belt Replica,4-Star,Event
484,S Thunder Crunch Choco Sticks,4-Star,Event
485,Reading Ilias,4-Star,Event
486,Mane of Bayard,4-Star,Event
487,Secret Stash Treasure Album,4-Star,Event
488,Cigar & Wine,4-Star,Event
489,Pan Tao Peach Compote,4-Star,Event
490,Baast-Nyan Model X,4-Star,Event
491,Flawless Chocolate,4-Star,Event
492,Handmade Chocolate of Affection,4-Star,Event
493,Fou-kun Puppet,4-Star,Event
494,UFO,4-Star,Event
495,Direct Current-Style Grateful Cookies,4-Star,Event
496,Mama's Trump Card,4-Star,Event
497,Blessings of the Nile,4-Star,Event
498,Montblanc au Chocolat,4-Star,Event
499,Evenings by the Euphrates,4-Star,Event
500,Gilles-kun Doll,4-Star,Event
501,Ticking-kun,4-Star,Event
502,Druid's Staff,4-Star,Event
503,The Illusion I Saw Once,4-Star,Event
504,Everything Originates From Mathematics,4-Star,Event
505,Geronimo-styled Moccasins,4-Star,Event
506,A Bluebird-Like Computer Mouse,4-Star,Event
507,155th Sonnet,4-Star,Event
508,Toy Piano,4-Star,Event
509,Nectar Bonbon,4-Star,Event
510,Al-Bukhour,4-Star,Event
511,Crimson and White Choco,4-Star,Event
512,Gun and Bullets,4-Star,Event
513,Bitter Taste Summer,4-Star,Event
514,Super Nile Flowers,4-Star,Event
515,Handmade Riceball,4-Star,Event
516,Bag of 100 Pieces of Chocolate,4-Star,Event
517,Manj? from F?ma Confectionery,4-Star,Event
518,Black Black Kiss,4-Star,Event
519,Multi-Purpose Cloth Hassan,4-Star,Event
520,Sanson's Nutritious Chocolate Drink,4-Star,Event
521,White Deathmask,4-Star,Event
522,Full Moon,4-Star,Event
523,Golden Gold Set,4-Star,Event
524,Scapegoat,4-Star,Event
525,First-Aid Kit,4-Star,Event
526,Mini Cú-chan,4-Star,Event
527,Finest Genji Kashiwamochi,4-Star,Event
528,Mysterious Hot Cocoa X,4-Star,Event
529,Wild Boar Prized Headgear,4-Star,Event
530,Someone's Sword,4-Star,Event
531,Sweden Firedrake Char-Grilled Sirloin,4-Star,Event
532,Sweet Things,4-Star,Event
533,Celebration Decorations,4-Star,Event
534,Fil Gaugamela,4-Star,Event
535,"Si Vales, Valeo",4-Star,Event
536,A Letter of Appreciation From Her,4-Star,Event
537,The First Step to Rebellion,4-Star,Event
538,Labyrinth Map,4-Star,Event
539,Church-Styled Handmade Cookies,4-Star,Event
540,Saintess' Tranquility,4-Star,Event
541,Freshly Brewed Coffee,4-Star,Event
542,Self-Destruct Choco with Massive Explosion,4-Star,Event
543,Egg Choco (Duplicates),4-Star,Event
544,Devil's Bandana,4-Star,Event
545,Freelancer,3-Star,Friend
546,The Dynamics of an Asteroid,4-Star,MaxBond
547,Kansh? & Bakuya (Handguns),4-Star,MaxBond
548,Beyond the Wilderness,4-Star,MaxBond
549,108 Stars of Destiny,4-Star,MaxBond
550,Talk of The Hot Sands,5-Star,Limited
551,Detective Edmond ~Spring Equinox Travelogue~,5-Star,Limited
552,As You Wish,5-Star,Limited
553,Cafe Camelot,4-Star,Limited
554,Outrage,4-Star,Limited
555,Operation Fionna,4-Star,Limited
556,Quatre Feuilles,3-Star,Limited
557,Neverland,3-Star,Limited
558,La Siesta,3-Star,Limited
559,Garden,4-Star,MaxBond
560,Demon King of the Sixth Heaven,5-Star,Limited
561,Castle of the Sun,5-Star,Event
562,Wolves of Mibu,5-Star,Event
563,Walking in the Spring Breeze,4-Star,Limited
564,Belle of Society,3-Star,Limited
565,Craft Essence EXP Card: GUDAGUDA Meiji Ishin,4-Star,Misc
566,Craft Essence EXP Card: GUDAGUDA Welcome,3-Star,Misc
567,Haori of the Vow,4-Star,MaxBond
568,Adzuki Beanbag,4-Star,MaxBond
569,Our Conquest on The Ocean of Stars,5-Star,Limited
570,Someday in Summer,5-Star,Event
571,Tsukimihara Student Council,4-Star,Limited
572,First Premonition,4-Star,Event
573,The Cage,3-Star,Limited
574,Craft Essence EXP Card: BB Shot!,4-Star,Misc
575,The Radiant One,4-Star,MaxBond
576,Don't Avert Your Eyes Away From Me,4-Star,MaxBond
577,A Passerby's Dream,4-Star,MaxBond
578,Tenma's Spring Training,4-Star,MaxBond
579,Dream From The Cradle,4-Star,MaxBond
580,Church of Rubble,3-Star,Non-Limited
581,Armless Shinji-kun,3-Star,Non-Limited
582,Atlas Academy,3-Star,Non-Limited
583,Fate/Apocrypha,4-Star,Misc
584,FGO THE STAGE,4-Star,Misc
585,Phantasmal Species,3-Star,Non-Limited
586,King Shahryar's Chambers,4-Star,MaxBond
587,Palace of Luoyang,4-Star,MaxBond
588,Military Sash of the War God,4-Star,MaxBond
589,La Niña,4-Star,MaxBond
590,Chaldea Anniversary,5-Star,Limited
591,Afternoon Party,4-Star,Limited
592,Starlight Fest,3-Star,Limited
593,Learn With Manga! FGO,4-Star,Misc
594,Heroic Spirit Formal Dress: Mashu Kyrielight,4-Star,Heroic_Spirit
595,Heroic Spirit Formal Dress: Artoria Pendragon,4-Star,Heroic_Spirit
596,Heroic Spirit Formal Dress: Altera,4-Star,Heroic_Spirit
597,Heroic Spirit Formal Dress: Mordred,4-Star,Heroic_Spirit
598,Heroic Spirit Formal Dress: Arthur Pendragon,4-Star,Heroic_Spirit
599,Heroic Spirit Formal Dress: Nero Claudius,4-Star,Heroic_Spirit
600,Heroic Spirit Formal Dress: Chevalier d'Eon,4-Star,Heroic_Spirit
601,Heroic Spirit Formal Dress: Lancelot,4-Star,Heroic_Spirit
602,Heroic Spirit Formal Dress: Caesar,4-Star,Heroic_Spirit
603,Heroic Spirit Formal Dress: Bedivere,4-Star,Heroic_Spirit
604,Heroic Spirit Formal Dress: Arjuna,4-Star,Heroic_Spirit
605,Heroic Spirit Formal Dress: Ishtar,4-Star,Heroic_Spirit
606,Heroic Spirit Formal Dress: EMIYA,4-Star,Heroic_Spirit
607,Heroic Spirit Formal Dress: Atalanta,4-Star,Heroic_Spirit
608,Heroic Spirit Formal Dress: Euryale,4-Star,Heroic_Spirit
609,Heroic Spirit Formal Dress: Scáthach,4-Star,Heroic_Spirit
610,Heroic Spirit Formal Dress: Karna,4-Star,Heroic_Spirit
611,Heroic Spirit Formal Dress: Artoria Pendragon,4-Star,Heroic_Spirit
612,Heroic Spirit Formal Dress: Artoria Pendragon,4-Star,Heroic_Spirit
613,Heroic Spirit Formal Dress: Romulus,4-Star,Heroic_Spirit
614,Heroic Spirit Formal Dress: Medusa,4-Star,Heroic_Spirit
615,Heroic Spirit Formal Dress: Jaguar Man,4-Star,Heroic_Spirit
616,Heroic Spirit Formal Dress: Queen Medb,4-Star,Heroic_Spirit
