Servent_ID,Servant_Name,Rarity,Servent_Summon,Servent_Class,Servent_JPName,Servent_AKA,Servent_Cost,ATKLevel1,ATKMaxLevel,HPLevel1,HPMaxLevel,ATKLevel100,HPLevel100,ATKLevel120,HPLevel120,VoiceActor,Illustrator,Servent_Attribute,StarAbsorption,StarGeneration,NPChargeATK,NPChargeDEF,DeathRate,Servent_Alignments,ServentGender,ServentTraits,QuickHits,ArtsHits,BusterHits,ExtraHits,NPDamageType,NPRank,NPClassification,NPHit-Count
20,Cú Chulainn (Prototype),3-Star,Non-Limited,Lancer,クー・フーリン〔プロトタイプ〕,"Proto Lancer, Cu Chulainn (Prototype), Sétanta, Hound of Ulster, Coo Hullan (Prototype), Child of the Sun, Child of Light",7,1315,7082,1817,10098,9584,13691,11257,16093,Nakai Kazuya,Nakahara,Sky,88,12.10%,1.08%,4%,28%,Lawful Balanced,Male,"Divinity, Hominidae Servant, Humanoid, Servant, Seven Knights Servant, Weak to Enuma Elish",2,2,1,3,Quick,B,Anti-Unit,1
21,Leonidas I,2-Star,Non-Limited,Lancer,レオニダス一世,-,4,1168,6583,1498,7959,9539,11486,11234,13508,Miki Shinichirou,Shimaudon,Man,89,11.80%,1.07%,4%,32%,Lawful Balanced,Male,"Hominidae Servant, Humanoid, King, Servant, Seven Knights Servant, Stout Defender, Weak to Enuma Elish",2,2,1,3,Buster,B,Anti-Army,－
22,Romulus,3-Star,Non-Limited,Lancer,ロムルス,"The Divine Ancestor, King of Nation Building, Roma",7,1344,7239,1779,9883,9797,13400,11506,15750,Okiayu Ryoutarou,Koyama Hirokazu,Star,90,12.10%,1.07%,4%,32%,Chaotic Balanced,Male,"Enuma Elish Nullification, Hominidae Servant, Humanoid, Immune to Pigify, King, Roman, Servant, Seven Knights Servant",2,2,1,3,Buster,A++,Anti-Army,7
23,Medusa,3-Star,Non-Limited,Rider,メドゥーサ,"Female Monster of Gorgon (ゴルゴーンの女怪, Gorugōn no Jokai?)",7,1337,7200,1608,8937,9744,12117,11444,14243,Asakawa Yuu,Takeuchi Takashi,Earth,194,9%,0.58%,3%,35%,Chaotic Good,Female,"Costume-Owning, Divine Spirit, Divinity, Humanoid, Non-Hominidae Servant, Riding, Servant, Seven Knights Servant, Weak to Enuma Elish",2,3,1,3,Quick,A+,Anti-Army,1
24,Georgios,2-Star,Non-Limited,Rider,ゲオルギウス,Saint George,4,929,5236,1731,9200,7587,13278,8935,15615,Saizen Tadahisa,Chuuou Higashiguchi,Man,205,8.90%,0.85%,3%,45%,Lawful Good,Male,"Hominidae Servant, Humanoid, Loved One, Riding, Servant, Seven Knights Servant, Weak to Enuma Elish",2,2,1,3,Arts,B,Anti-Unit,4
25,Edward Teach,2-Star,Non-Limited,Rider,エドワード・ティーチ,"Blackbeard (黒髭, Kuro Hige?)",4,1097,6188,1488,7907,8967,11411,10561,13420,Saizen Tadahisa,B-suke,Man,198,8.80%,0.56%,3%,45%,Chaotic Evil,Male,"Costume-Owning, Hominidae Servant, Humanoid, Servant, Seven Knights Servant, Weak to Enuma Elish",2,3,1,3,Buster,C++,Anti-Army,5
26,Boudica,3-Star,Non-Limited,Rider,ブーディカ,Queen of Victory,7,1168,6289,1823,10130,8511,13735,9996,16144,Saito Chiwa,Aotsuki Takao,Man,196,8.90%,0.85%,3%,45%,Neutral Good,Female,"Hominidae Servant, Humanoid, King, Riding, Servant, Seven Knights Servant, Weak to Enuma Elish",2,2,1,3,Arts,B+,Anti-Army,－
27,Ushiwakamaru,3-Star,Non-Limited,Rider,牛若丸,Minamoto no Yoshitsune (源義経?),7,1314,7076,1625,9028,9576,12240,11247,14387,Hayami Saori,Sakamoto Mineji,Man,204,9.10%,0.87%,3%,35%,Chaotic Balanced,Female,"Costume-Owning, Fairy Tale Servant, Genji, Hominidae Servant, Humanoid, Loved One, Riding, Servant, Seven Knights Servant, Weak to Enuma Elish",2,2,1,3,Quick,D,Anti-Unit Secret Technique,1
28,Alexander,3-Star,Non-Limited,Rider,アレキサンダー,Young Iskandar,7,1366,7356,1555,8640,9955,11714,11692,13769,Sakamoto Maaya,BUNBUN,Man,205,9%,0.86%,3%,40%,Neutral Good,Male,"Child Servant, Divinity, Greek Mythology Male, Hominidae Servant, Humanoid, King, Riding, Servant, Seven Knights Servant, Weak to Enuma Elish",2,2,1,3,Quick,B+,Anti-Army,1
29,Marie Antoinette,4-Star,Non-Limited,Rider,マリー・アントワネット,-,12,1382,8293,1975,12348,10041,14972,11789,15596,Taneda Risa,Ginka,Man,201,9%,1%,3%,35%,Lawful Good,Female,"Hominidae Servant, Humanoid, Riding, Servant, Seven Knights Servant, Weak to Enuma Elish",2,1,1,3,Quick,A,Anti-Army,5
30,Martha,4-Star,Non-Limited,Rider,マルタ,"Saint Martha, Dragon Rider",12,1335,8014,2090,13068,9703,15845,11393,18622,Hayami Saori,Sakamoto Mineji,Man,205,9%,1.58%,3%,30%,Lawful Good,Female,"Divinity, Hominidae Servant, Humanoid, Riding, Servant, Seven Knights Servant, Weak to Enuma Elish",2,1,1,3,Buster,A+,Anti-Army,1
31,Medea,3-Star,Non-Limited,Caster,メディア,"Witch of Betrayal (裏切りの魔女, Uragiri no Majo?)",7,1377,7418,1555,8643,10039,11719,11791,13774,Tanaka Atsuko,Nekotawawa,Earth,50,10.90%,1.64%,3%,34.50%,Neutral Evil,Female,"Argo-Related, Hominidae Servant, Humanoid, Servant, Seven Knights Servant, Weak to Enuma Elish",2,1,1,3,Arts,C,Anti-Magecraft,1
32,Gilles de Rais,3-Star,Story-locked,Caster,ジル・ド・レェ,"Holy Monster (聖なる怪物, Seinaru Kaibutsu?), Bluebeard, Demon Marshal",7,1209,6514,1711,9506,8816,12889,10354,15149,Tsuruoka Satoshi,Azusa,Man,48,10.80%,1.58%,3%,48%,Chaotic Evil,Male,"Hominidae Servant, Humanoid, Servant, Seven Knights Servant, Weak to Enuma Elish",2,1,1,3,Buster,A+,Anti-Army,3
33,Hans Christian Andersen,2-Star,Non-Limited,Caster,ハンス・クリスチャン・アンデルセン,-,4,1021,5758,1597,8484,8344,12244,9827,14399,"Koyasu Takehito, Tanaka Rie",Wada Arco,Man,48,10.80%,1.66%,3%,30%,Lawful Balanced,Male,"Child Servant, Hominidae Servant, Humanoid, Servant, Seven Knights Servant, Weak to Enuma Elish",2,1,1,3,Arts,C,Anti-Unit,－
34,William Shakespeare,2-Star,Non-Limited,Caster,ウィリアム・シェイクスピア,"The Greatest Writer (偉大なる文豪, Idainaru Bungō?), Caster of Red",4,1028,5798,1520,8080,8402,11661,9895,13715,Inada Tetsu,Konoe Ototsugu,Man,50,10.80%,1.59%,3%,45%,Neutral Balanced,Male,"Hominidae Servant, Humanoid, Servant, Seven Knights Servant, Weak to Enuma Elish",2,1,1,3,Buster,B,Anti-Unit,4
35,Mephistopheles,3-Star,Non-Limited,Caster,メフィストフェレス,-,7,1270,6839,1659,9216,9255,12495,10870,14687,Koyasu Takehito,Simosi,Earth,50,11%,0.81%,3%,36%,Chaotic Evil,Male,"Hominidae Servant, Humanoid, Servant, Seven Knights Servant, Weak to Enuma Elish",2,2,1,3,Buster,A,Anti-Army,1
36,Wolfgang Amadeus Mozart,1-Star,Non-Limited,Caster,ヴォルフガング・アマデウス・モーツァルト,Gottlieb,3,944,5195,1425,7129,8072,10990,9514,12924,Seki Tomokazu,PFALZ,Star,49,11%,1.60%,3%,40.50%,Neutral Good,Male,"Enuma Elish Nullification, Hominidae Servant, Humanoid, Loved One, Servant, Seven Knights Servant",2,1,1,3,Arts,B,Anti-Army,－
37,Zhuge Liang (Lord El-Melloi II),5-Star,Non-Limited,Caster,諸葛孔明〔エルメロイⅡ世〕,"Waver Velvet (ウェイバー・ベルベット?),""El-Melloi II"", Great Big Ben London☆Star, Shokatsu Koumei, Kongming",16,1637,10598,2091,14259,11601,15621,13617,18359,Namikawa Daisuke,Takeuchi Takashi,Man,50,10.80%,1.64%,3%,34.50%,Neutral Good,Male,"Hominidae Servant, Humanoid, Living Human, Loved One, Pseudo-Servant, Servant, Seven Knights Servant, Weak to Enuma Elish",2,1,1,3,Arts,C-,Anti-Army,－
38,Cú Chulainn (Caster),3-Star,Story-locked,Caster,クー・フーリン,"Child of Light (光の御子, Hikari no Miko?), Grímr the Sage (賢人グリム?), Odin's Proxy",8,1222,6580,1728,9604,8905,13022,10459,15306,Canna Nobutoshi,Mata,Sky,49,10.90%,1.60%,3%,42%,Lawful Balanced,Male,"Divinity, Hominidae Servant, Humanoid, Loved One, Servant, Seven Knights Servant, Weak to Enuma Elish",2,1,1,3,Buster,B,Anti-Army,1
39,Sasaki Kojirō,1-Star,Non-Limited,Assassin,佐々木小次郎,"Nameless Master (無名の達人, Mumei no Tatsujin?)Nameless Samurai, Tsuda, Sasaki Kojirou, REGEND, Sasaki Ganryu",3,1042,5735,1244,6220,8912,9588,10503,11275,Miki Shinichirou,Mata,Man,102,25.30%,1.05%,4%,55%,Neutral Evil,Male,"Hominidae Servant, Humanoid, Servant, Seven Knights Servant, Weak to Enuma Elish",2,2,1,4,Quick,-,Anti-Unit Mystic Sword,3
40,Hassan of the Cursed Arm,2-Star,Non-Limited,Assassin,呪腕のハサン,"Assassin of The White Skull (白髏の暗殺者, Hakurō no Asashin?)True Assassin, Hanam, Cursed Arm Hassan",4,1114,6280,1429,7594,9100,10960,10717,12889,Inada Tetsu,Task Ohna,Man,97,25.20%,1.07%,4%,44%,Lawful Evil,Male,"Hominidae Servant, Humanoid, Servant, Seven Knights Servant, Weak to Enuma Elish",3,2,1,3,Quick,C,Anti-Unit,1
41,Stheno,4-Star,Non-Limited,Assassin,ステンノ,-,12,1497,8985,1843,11518,10879,13965,12773,16413,Asakawa Yuu,AKIRA,Sky,104,25%,2.26%,4%,27.50%,Chaotic Good,Female,"Divine Spirit, Divinity, Goddess Servant, Humanoid, Immune to Pigify, Non-Hominidae Servant, Servant, Seven Knights Servant, Weak to Enuma Elish",2,1,1,3,Buster,B,Anti-Unit,－
42,Jing Ke,3-Star,Non-Limited,Assassin,荊軻,Keika,7,1338,7207,1492,8293,9754,11244,11456,13216,Tanaka Atsuko,Takahashi Keitarō,Man,98,25.20%,1.05%,4%,55%,Chaotic Good,Female,"Hominidae Servant, Humanoid, Servant, Seven Knights Servant, Weak to Enuma Elish",2,2,1,3,Quick,B,Anti-Unit,1
43,Charles-Henri Sanson,2-Star,Non-Limited,Assassin,シャルル＝アンリ・サンソン,-,4,968,5456,1568,8309,7906,11991,9311,14102,Miyano Mamoru,Shimadoriru,Man,102,24.80%,1.06%,4%,49.50%,Lawful Evil,Male,"Costume-Owning, Hominidae Servant, Humanoid, Servant, Seven Knights Servant, Weak to Enuma Elish",2,2,1,3,Buster,A,Anti-Unit,1
44,Phantom of the Opera,2-Star,Non-Limited,Assassin,ファントム・オブ・ジ・オペラ,"Erik (エリック?), Berserker of Shinjuku (新宿のバーサーカー?), Angel of Music",4,1003,5654,1580,8393,8193,12112,9649,14245,Okiayu Ryoutarou,Shimaudon,Earth,98,25.20%,0.71%,4%,49.50%,Chaotic Evil,Male,"Hominidae Servant, Humanoid, Servant, Seven Knights Servant, Weak to Enuma Elish",2,3,2,3,Arts,B,Anti-Army,1
45,Mata Hari,1-Star,Non-Limited,Assassin,マタ・ハリ,"Margaretha Geertruida Zelle, The Girl Who Has Sunny Eyes",3,977,5377,1313,6565,8355,10120,9847,11901,Taneda Risa,Koyama Hirokazu,Man,98,24.60%,2.10%,4%,55%,Chaotic Balanced,Female,"Hominidae Servant, Humanoid, Servant, Seven Knights Servant, Weak to Enuma Elish",2,1,1,3,Arts,A,Anti-Army,－
46,Carmilla,4-Star,Non-Limited,Assassin,カーミラ,Elizabeth Báthory,12,1568,9408,1675,10473,11391,12698,13375,14924,Tanaka Atsuko,okojo,Earth,98,25.20%,2.15%,4%,44%,Chaotic Evil,Female,"Hominidae Servant, Humanoid, Servant, Seven Knights Servant, Weak to Enuma Elish",2,1,1,3,Buster,C,Anti-Unit,1
47,Heracles,4-Star,Non-Limited,Berserker,ヘラクレス,"The Immortal Great Hero (不死身の大英雄, Fujimi no Dai Eiyū?), Hércules",12,1775,10655,1652,10327,12901,12521,15148,14716,Saizen Tadahisa,Azusa,Sky,10,5%,1.07%,5%,39%,Chaotic Insane,Male,"Argo-Related, Divinity, Greek Mythology Male, Hominidae Servant, Humanoid, Servant, Seven Knights Servant, Weak to Enuma Elish",2,2,1,3,Buster,C~A+,Anti-Unit,15
48,Lancelot,4-Star,Non-Limited,Berserker,ランスロット,"Knight of the Lake (湖の騎士, Mizu-umi no Kishi?), Black Knight, Mad Dog",12,1746,10477,1652,10327,12685,12521,14894,14716,Okiayu Ryoutarou,Koyama Hirokazu,Earth,10,5%,0.50%,5%,52%,Lawful Insane,Male,"Hominidae Servant, Humanoid, Round Table Knight, Servant, Seven Knights Servant, Weak to Enuma Elish",2,2,1,3,Quick,A,Anti-Unit,10
49,Lu Bu Fengxian,3-Star,Non-Limited,Berserker,呂布奉先,"General of Repetition, Lü Bu Fengxian, Ryo Fu",7,1507,8119,1494,8302,10988,11256,12906,13230,Yasui Kunihiko,Wada Arco,Man,9,5%,1.04%,5%,50.30%,Chaotic Evil,Male,"Hominidae Servant, Humanoid, Mechanical, Servant, Seven Knights Servant, Weak to Enuma Elish",2,2,1,3,Buster,A,Anti-UnitAnti-ArmyAnti-Fortress,1
50,Spartacus,1-Star,Non-Limited,Berserker,スパルタクス,"Gladiator of Thrace (トラキアの剣闘士, Torakia no Ken Tōshi?), Berserker of Red",3,922,5073,1544,7722,7883,11904,9290,13998,Tsuruoka Satoshi,Konoe Ototsugu,Man,9,4.90%,1.01%,5%,65%,Neutral Balanced,Male,"Hominidae Servant, Humanoid, Roman, Servant, Seven Knights Servant, Weak to Enuma Elish",2,2,1,3,Buster,A,Anti-Unit,1
51,Sakata Kintoki,5-Star,Limited,Berserker,坂田金時,"Kintarō (金太郎?), Kaidōmaru (怪童丸?), Shimenosuke (主馬佑?), Golden",16,1964,12712,1782,12150,13915,13311,16334,15644,Yusa Kōji,Honjou Raita,Man,9,5%,1.03%,5%,52%,Lawful Good,Male,"Costume-Owning, Divinity, Fairy Tale Servant, Genji, Hominidae Servant, Humanoid, Loved One, Servant, Seven Knights Servant, Weak to Enuma Elish",2,2,1,3,Buster,C-,Anti-Unit,1
52,Vlad III,5-Star,Non-Limited,Berserker,ヴラド三世,"Lord Impaler (串刺し公, Kushizashi Kō?), Lancer of Black, Vlad Ţepeş, Count Dracula",16,1777,11499,2019,13770,12587,15086,14775,17730,Okiayu Ryoutarou,Maeda Hirotaka,Earth,9,4.90%,0.50%,5%,45.50%,Chaotic Evil,Male,"Hominidae Servant, Humanoid, King, Loved One, Servant, Seven Knights Servant, Stout Defender, Weak to Enuma Elish",2,2,1,3,Arts,C,Anti-Unit,10
53,Asterios,1-Star,Non-Limited,Berserker,アステリオス,Minotaur,3,1097,6037,1320,6604,9381,10181,11056,11972,Toriumi Kousuke,Shimadoriru,Earth,9,4.90%,0.68%,5%,58.50%,Chaotic Evil,Male,"Animal Characteristics Servant, Child Servant, Demonic Beast Servant, Giant, Greek Mythology Male, Humanoid, Non-Hominidae Servant, Servant, Seven Knights Servant, Weak to Enuma Elish",2,3,1,3,Arts,EX,Labyrinth,－
54,Caligula,2-Star,Non-Limited,Berserker,カリギュラ,Emperor of Death,4,1374,6831,1211,7303,9899,10540,11658,12396,Tsuruoka Satoshi,BLACK,Man,9,5%,0.68%,5%,56.80%,Chaotic Evil,Male,"Hominidae Servant, Humanoid, King, Roman, Servant, Seven Knights Servant, Weak to Enuma Elish",2,3,1,3,Arts,C,Anti-Army,－
55,Darius III,3-Star,Non-Limited,Berserker,ダレイオス三世,-,7,1412,7608,1577,8763,10297,11881,12093,13965,Yasui Kunihiko,PFALZ,Man,9,5%,0.67%,5%,65%,Lawful Balanced,Male,"Giant, Hominidae Servant, Humanoid, King, Servant, Seven Knights Servant, Weak to Enuma Elish",2,3,1,3,Buster,A,Anti-Army,10
56,Kiyohime,3-Star,Non-Limited,Berserker,清姫,-,7,1233,6644,1649,9166,8992,12428,10561,14608,Taneda Risa,BLACK,Earth,9,4.90%,2.03%,5%,65%,Chaotic Evil,Female,"Child Servant, Dragon, Hominidae Servant, Humanoid, Servant, Seven Knights Servant, Weak to Enuma Elish",2,1,1,3,Buster,EX,Anti-Unit,3
57,Eric Bloodaxe,2-Star,Non-Limited,Berserker,エイリーク・ブラッドアクス,"Bloodaxe King, Eric Haraldsson",4,1116,6290,1447,7688,9115,11095,10734,13049,Yasui Kunihiko,Aotsuki Takao,Man,9,4.90%,1.02%,5%,58.50%,Chaotic Balanced,Male,"Hominidae Servant, Humanoid, King, Servant, Seven Knights Servant, Weak to Enuma Elish",2,2,1,3,Buster,B,Anti-Unit,5
58,Tamamo Cat,4-Star,Non-Limited,Berserker,タマモキャット,-,12,1504,9026,1833,11458,10929,13893,12832,16328,Saito Chiwa,Wada Arco,Earth,10,5%,0.71%,5%,39%,Chaotic Good,Female,"Animal Characteristics Servant, Costume-Owning, Demonic Beast Servant, Humanoid, Non-Hominidae Servant, Servant, Seven Knights Servant, Weak to Enuma Elish, Wild Beast",2,3,2,3,Quick,D,Anti-Unit,5
59,Jeanne d'Arc,5-Star,Non-Limited,Ruler,ジャンヌ・ダルク,"Holy Maiden of Salvation (救国の聖女, Kyūkoku no Seijo?)Joan of Arc, Juana de Arco, La Pucelle d'Orléans, The Maiden of Orleans, St. Joan, Joanna d'arc",16,1482,9593,2420,16500,10501,18076,12326,21244,Sakamoto Maaya,Takeuchi Takashi,Star,99,10.10%,0.76%,3%,21%,Lawful Good,Female,"Artoria Face, Costume-Owning, Hominidae Servant, Humanoid, Servant, Weak to Enuma Elish",2,2,1,3,Arts,A-,Barrier,－
